CustomerID,AnnualIncome,SpendingScore,Age,Gender
106,32097,57,41,Male
107,99157,10,67,Male
108,50300,95,67,Female
109,56661,1,24,Female
110,15338,88,17,Male
111,3051,23,77,Female
112,66412,92,56,Male
113,39734,25,61,Female
114,94476,86,28,Male
115,73847,38,67,Male
116,25945,92,99,Male
117,5949,8,18,Female
118,74740,74,67,Female
119,16896,16,57,Male
120,45543,52,25,Male
121,53222,23,31,Male
122,59638,63,85,Female
123,67215,22,95,Male
124,93468,70,78,Male
125,78832,49,71,Female
126,29124,67,25,Female
127,35247,6,48,Female
128,62752,100,32,Female
129,23049,1,43,Female
130,40158,61,28,Female
131,9823,19,78,Male
132,4611,76,33,Female
133,30977,13,41,Male
134,66387,80,21,Female
135,11938,52,42,Male
136,93610,92,21,Male
137,97856,18,49,Female
138,82986,100,22,Female
139,38494,1,44,Male
140,93008,77,17,Male
141,15305,44,43,Male
142,20358,64,67,Male
143,38513,1,38,Female
144,33496,77,45,Female
145,38756,28,33,Female
146,83042,91,91,Male
147,65510,17,33,Male
148,7357,100,46,Female
149,36208,1,32,Male
150,68450,81,26,Male
151,14397,38,98,Female
152,66234,79,58,Female
153,16779,4,85,Male
154,35270,84,87,Male
155,64895,38,25,Male
156,89112,76,62,Male
157,66703,24,62,Female
158,21689,100,23,Male
159,9348,17,96,Male
160,89930,69,85,Male
161,23625,35,16,Female
162,46732,100,51,Male
163,93105,12,75,Male
164,88092,93,47,Male
165,28295,20,95,Female
166,91792,62,98,Male
167,91267,21,79,Female
168,19870,92,70,Female
169,26790,9,83,Female
170,93714,90,76,Male
171,4748,46,67,Female
172,55771,68,70,Male
173,42344,24,10,Male
174,80219,81,65,Male
175,67641,51,54,Male
176,20559,76,84,Female
177,21732,21,28,Female
178,71726,87,24,Male
179,52736,1,25,Male
180,24504,62,21,Female
181,10975,34,81,Female
182,23959,88,17,Female
183,46427,21,99,Female
184,84665,84,50,Female
185,20159,46,72,Male
186,38088,88,93,Male
187,35547,14,22,Female
188,45445,91,78,Male
189,75672,1,19,Female
190,58141,56,42,Female
191,27712,36,58,Male
192,62292,86,72,Male
193,20309,12,58,Male
194,20384,90,10,Male
195,40943,25,90,Male
196,98142,60,12,Male
197,23574,22,62,Male
198,4809,83,92,Male
199,56397,1,10,Male
200,53932,64,13,Female
201,70080,58,41,Female
202,36187,91,81,Male
203,14489,19,63,Female
204,49922,68,74,Female
205,73963,24,66,Male
206,53871,78,88,Male
207,39764,1,75,Male
208,53682,100,47,Female
209,78587,16,47,Female
210,55393,69,39,Male
211,23386,52,61,Male
212,53413,93,97,Male
213,70173,2,14,Male
214,39811,66,65,Male
215,87369,36,93,Female
216,92705,61,62,Female
217,69836,1,32,Male
218,80719,100,84,Female
219,22415,1,13,Female
220,41240,54,76,Male
221,69724,50,59,Male
222,11314,79,30,Male
223,87505,13,51,Male
224,23061,77,79,Male
225,16907,45,55,Female
226,91865,82,82,Female
227,10488,7,65,Female
228,19262,90,35,Female
229,79104,1,61,Male
230,302,73,23,Female
231,28699,41,87,Female
232,16748,86,23,Male
233,5126,1,32,Female
234,55658,74,47,Male
235,34674,34,73,Male
236,38518,92,37,Female
237,1062,2,95,Female
238,47915,98,26,Male
239,6168,1,19,Male
240,82152,69,95,Female
241,12910,26,49,Male
242,23275,79,51,Male
243,60004,1,61,Female
244,48447,90,68,Female
245,76090,25,42,Male
246,27285,76,79,Female
247,71158,1,84,Female
248,76125,100,33,Male
249,13046,1,40,Female
250,4324,87,33,Male
251,16389,20,93,Female
252,28746,64,88,Female
253,117,15,60,Female
254,53441,71,84,Female
255,46514,24,79,Female
256,42101,59,28,Female
257,49376,5,21,Male
258,67584,99,23,Female
259,42533,19,20,Male
260,47362,84,15,Female
261,59383,28,14,Male
262,9865,62,22,Female
263,34387,1,72,Male
264,19216,65,84,Male
265,79767,57,44,Female
266,42078,60,71,Female
267,235,1,84,Male
268,65441,85,44,Male
269,5415,4,69,Female
270,87388,59,20,Male
271,58596,32,69,Female
272,86740,97,14,Male
273,23930,1,35,Female
274,20611,81,51,Male
275,43303,27,48,Female
276,93709,87,60,Male
277,72101,18,32,Male
278,18574,100,34,Male
279,34016,1,87,Male
280,36455,91,60,Male
281,67506,24,15,Male
282,96646,68,51,Female
283,56819,1,38,Male
284,59379,86,36,Female
285,51356,57,66,Male
286,44028,92,36,Male
287,2336,1,95,Female
288,32265,78,83,Male
289,46197,20,22,Male
290,29486,87,97,Female
291,40631,33,38,Female
292,64772,89,56,Female
293,3756,1,36,Male
294,39666,92,45,Female
295,71315,30,83,Female
296,76325,61,81,Male
297,814,11,55,Male
298,2443,99,22,Female
299,17368,15,69,Male
300,85451,87,77,Male
301,60279,55,81,Male
302,52329,88,40,Female
303,55176,14,87,Female
304,68904,78,20,Male
305,34560,56,30,Female
306,1645,91,63,Male
307,19256,1,72,Female
308,37430,100,24,Male
309,11694,1,62,Male
310,57545,77,50,Male
311,25150,43,99,Male
312,73509,62,16,Female
313,8666,19,100,Male
314,6783,80,34,Male
315,70835,25,97,Male
316,37148,77,35,Female
317,16241,6,58,Male
318,70480,93,58,Female
319,52853,4,72,Male
320,62823,58,10,Female
321,41949,41,60,Male
322,33719,79,71,Female
323,2717,14,58,Male
324,42460,86,25,Female
325,89106,37,10,Female
326,38258,57,47,Male
327,65155,1,17,Male
328,12342,100,12,Female
329,99785,1,43,Female
330,81974,79,41,Female
331,85382,47,17,Male
332,76534,63,97,Male
333,76218,1,63,Male
334,85230,93,76,Male
335,24160,47,17,Female
336,73506,87,97,Female
337,75039,1,77,Female
338,86925,100,64,Female
339,47057,1,83,Male
340,16032,74,94,Male
341,20079,37,45,Male
342,31419,78,11,Male
343,23236,5,20,Female
344,15358,58,76,Male
345,76918,31,29,Male
346,33572,93,18,Female
347,62516,20,95,Female
348,29975,90,83,Female
349,19063,5,90,Female
350,35954,68,23,Male
351,35367,20,34,Male
352,23752,82,13,Female
353,76908,19,96,Male
354,81994,62,27,Female
355,61268,55,50,Female
356,26657,72,46,Male
357,78411,8,95,Male
358,51226,100,15,Male
359,4263,16,21,Male
360,47924,58,19,Male
361,11664,44,94,Female
362,29373,62,63,Male
363,61120,21,35,Male
364,57492,67,49,Male
365,89599,55,68,Male
366,96999,90,63,Female
367,53302,9,31,Male
368,89399,100,45,Male
369,67298,1,71,Male
370,45420,85,82,Female
371,1524,27,82,Female
372,37904,61,98,Male
373,74666,25,51,Male
374,13350,91,12,Female
375,34020,49,21,Male
376,91748,72,83,Male
377,94006,1,71,Female
378,90327,92,17,Male
379,51860,1,96,Male
380,67957,67,79,Female
381,15896,36,98,Female
382,77454,86,35,Male
383,27935,1,25,Male
384,12182,82,94,Female
385,94457,26,23,Male
386,8820,62,18,Male
387,80559,1,68,Male
388,99804,91,48,Male
389,37265,21,26,Female
390,74910,75,69,Male
391,78945,21,46,Male
392,2983,86,64,Male
393,78187,24,24,Female
394,6640,60,95,Male
395,7564,37,42,Female
396,79273,57,64,Male
397,52393,19,39,Male
398,29430,86,22,Female
399,48543,14,48,Female
400,16371,80,71,Male
401,61916,34,65,Female
402,58606,70,39,Male
403,24574,24,93,Male
404,10816,86,58,Male
405,33933,49,77,Female
406,40600,56,62,Female
407,35400,1,58,Male
408,89431,77,21,Male
409,43001,19,70,Male
410,97659,57,48,Female
411,56638,42,20,Female
412,34636,94,34,Male
413,80435,1,68,Female
414,56979,85,72,Female
415,41844,29,66,Female
416,82856,58,15,Male
417,50948,8,58,Male
418,76898,93,70,Male
419,7657,17,59,Female
420,26685,68,97,Male
421,28831,53,22,Female
422,33660,85,82,Female
423,34701,22,20,Male
424,23874,84,38,Male
425,17602,44,85,Female
426,29192,70,49,Male
427,64772,1,68,Female
428,25559,88,47,Female
429,21754,1,57,Female
430,41873,57,46,Female
431,9903,31,37,Male
432,86988,77,49,Male
433,2396,1,65,Female
434,30561,96,100,Male
435,99616,25,97,Male
436,19623,83,68,Male
437,83624,1,54,Male
438,26292,100,72,Male
439,2469,1,14,Male
440,49708,82,32,Female
441,2719,48,48,Male
442,92241,96,11,Female
443,57932,14,21,Male
444,75713,88,22,Female
445,75418,36,69,Female
446,31575,90,79,Male
447,47517,1,83,Male
448,42207,100,72,Female
449,98875,1,46,Male
450,82197,55,29,Female
451,45539,22,100,Female
452,50192,72,31,Male
453,73609,1,31,Female
454,76919,74,59,Female
455,37567,48,85,Female
456,90874,90,61,Male
457,27083,1,38,Male
458,44064,79,88,Female
459,93106,1,67,Male
460,44569,85,55,Female
461,14288,53,22,Male
462,81958,75,38,Male
463,17482,17,11,Male
464,78797,76,31,Male
465,22042,22,90,Female
466,93623,83,30,Male
467,81871,22,68,Female
468,48901,92,66,Male
469,5626,1,67,Female
470,19982,85,70,Male
471,26431,43,33,Female
472,26385,75,89,Male
473,99911,10,26,Male
474,68916,64,88,Male
475,85553,26,12,Male
476,82879,79,69,Female
477,52098,5,55,Male
478,68760,100,87,Male
479,11536,2,18,Female
480,65455,73,11,Female
481,82503,29,73,Male
482,60112,68,30,Female
483,26589,3,47,Female
484,6154,81,42,Female
485,20581,27,20,Female
486,69298,79,50,Male
487,39499,17,88,Female
488,95317,100,29,Male
489,74441,22,41,Female
490,63483,84,11,Male
491,27424,31,39,Male
492,88652,86,31,Male
493,81061,24,99,Female
494,75897,71,53,Male
495,51047,30,70,Male
496,49786,61,18,Female
497,26015,1,17,Female
498,26289,100,71,Female
499,13629,1,84,Female
500,98511,55,15,Female
501,81941,44,12,Male
502,21288,74,84,Female
503,80885,1,96,Female
504,1560,75,64,Female
505,52579,27,62,Male
506,92447,73,79,Female
507,16082,7,46,Female
508,2920,76,37,Female
509,8946,17,70,Male
510,16309,66,16,Female
511,72541,39,40,Female
512,956,84,29,Male
513,78339,13,29,Female
514,39063,88,45,Female
515,31860,53,75,Male
516,26017,91,15,Male
517,12201,1,12,Male
518,98833,100,30,Male
519,57056,17,35,Female
520,26723,81,96,Female
521,66061,32,11,Male
522,26916,65,47,Male
523,4648,1,98,Female
524,69350,62,26,Male
525,61272,47,75,Male
526,13760,95,85,Female
527,97955,8,56,Male
528,52233,76,23,Female
529,71260,1,85,Female
530,19816,52,14,Female
531,79530,30,10,Male
532,82495,80,37,Male
533,35946,22,56,Male
534,15563,93,58,Male
535,9847,47,88,Female
536,619,75,87,Female
537,66504,22,29,Female
538,27420,74,44,Female
539,76260,1,42,Male
540,64178,65,21,Female
541,41235,42,52,Female
542,45272,89,66,Male
543,56503,8,53,Female
544,12115,79,54,Female
545,1969,27,94,Male
546,23196,87,14,Male
547,48320,11,52,Female
548,55409,91,26,Female
549,36487,22,85,Male
550,42823,76,55,Female
551,31890,49,89,Female
552,19508,65,99,Female
553,36059,1,73,Female
554,5704,89,50,Male
555,72460,28,86,Male
556,66024,66,77,Female
557,29165,1,28,Female
558,36321,91,22,Male
559,25426,1,10,Female
560,91736,72,24,Male
561,27723,25,24,Male
562,77714,89,98,Male
563,8927,20,53,Female
564,63449,67,81,Female
565,60233,21,55,Male
566,22612,81,81,Female
567,92059,14,35,Male
568,32779,78,57,Male
569,27598,18,24,Male
570,91055,74,79,Female
571,59889,39,32,Male
572,69967,75,34,Female
573,8906,1,77,Male
574,37650,90,87,Male
575,50115,46,38,Male
576,13467,90,17,Female
577,54691,15,27,Female
578,44976,86,13,Female
579,86365,1,16,Male
580,44139,61,48,Male
581,63646,25,72,Female
582,48368,96,93,Female
583,12149,1,63,Male
584,21675,69,31,Female
585,34068,41,18,Female
586,37384,70,19,Female
587,76153,1,33,Female
588,34084,77,59,Female
589,55826,18,69,Male
590,36041,76,27,Male
591,81571,28,64,Female
592,64174,95,42,Male
593,80532,2,31,Female
594,68388,71,44,Female
595,40390,51,20,Female
596,74696,69,86,Male
597,57784,10,11,Female
598,4358,94,27,Male
599,32117,21,50,Male
600,55754,90,33,Female
601,51501,37,77,Female
602,33893,92,48,Male
603,54253,21,45,Male
604,16456,64,79,Male
605,72240,21,69,Male
606,68011,82,41,Male
607,56549,1,59,Male
608,45113,76,95,Female
609,5249,5,53,Female
610,58576,86,96,Female
611,53363,26,31,Female
612,95673,96,78,Male
613,48604,16,56,Male
614,28982,72,71,Female
615,98936,35,21,Male
616,46479,67,17,Female
617,10754,1,39,Male
618,72982,100,14,Female
619,62711,1,39,Male
620,13395,57,31,Female
621,91878,50,42,Male
622,76559,72,47,Female
623,19169,1,45,Male
624,5782,58,94,Female
625,30682,28,74,Male
626,38067,78,35,Female
627,64977,1,44,Female
628,65450,88,95,Female
629,64612,1,58,Female
630,25169,86,39,Female
631,45033,48,87,Female
632,52290,76,16,Female
633,40461,1,24,Male
634,24226,58,100,Female
635,52130,37,87,Female
636,55249,65,34,Female
637,74520,18,45,Male
638,5901,74,89,Female
639,73965,1,50,Female
640,50200,64,17,Male
641,17347,43,88,Female
642,40108,72,41,Female
643,11871,13,22,Male
644,33613,76,27,Male
645,55099,25,41,Male
646,77866,57,69,Male
647,72146,16,14,Male
648,42913,83,98,Female
649,55677,1,59,Male
650,92062,66,82,Male
651,59474,27,30,Male
652,50331,67,89,Female
653,23291,18,13,Female
654,99942,96,26,Male
655,66918,48,61,Female
656,12411,93,59,Male
657,42468,20,16,Male
658,26715,95,23,Male
659,9956,4,14,Female
660,62646,53,71,Male
661,6548,56,88,Male
662,23177,83,67,Female
663,5542,1,74,Male
664,22740,82,94,Male
665,47076,51,45,Male
666,53744,66,72,Male
667,29300,11,77,Female
668,37487,91,61,Male
669,19877,3,51,Male
670,53352,68,18,Male
671,64641,47,19,Female
672,20281,100,30,Female
673,92961,1,68,Female
674,51399,71,26,Female
675,25431,38,78,Female
676,63936,78,17,Male
677,60920,8,52,Male
678,7788,97,33,Male
679,83588,2,30,Female
680,44857,82,20,Female
681,64027,23,14,Female
682,76295,70,47,Male
683,78815,13,90,Male
684,61063,96,34,Male
685,52161,34,59,Male
686,77360,91,77,Female
687,42600,10,71,Male
688,57713,83,30,Female
689,25227,9,11,Female
690,99084,83,25,Female
691,60703,52,20,Female
692,45838,77,49,Female
693,26806,1,34,Female
694,38714,70,98,Female
695,92949,49,93,Male
696,76971,87,60,Female
697,84080,6,41,Female
698,48758,100,21,Male
699,43950,1,30,Male
700,15997,59,55,Female
701,55533,25,32,Female
702,94463,82,31,Male
703,58712,7,38,Male
704,85457,58,38,Male
705,55731,46,59,Male
706,91598,78,97,Female
707,57804,7,52,Male
708,67260,100,65,Male
709,8894,1,32,Male
710,29725,90,34,Female
711,29806,26,67,Female
712,65095,61,14,Male
713,82368,1,73,Female
714,68056,66,30,Female
715,80102,46,36,Female
716,31656,68,18,Female
717,84899,7,99,Female
718,10805,85,90,Female
719,13944,16,62,Male
720,15379,62,25,Male
721,89822,24,65,Male
722,82617,64,13,Female
723,18313,9,35,Male
724,73445,77,63,Female
725,59796,29,47,Female
726,61627,75,26,Male
727,68099,14,23,Male
728,16087,100,89,Female
729,95286,1,33,Female
730,16029,69,28,Male
731,60603,37,58,Male
732,5997,79,31,Female
733,42092,1,39,Female
734,37861,87,73,Male
735,57775,55,64,Male
736,76256,73,72,Female
737,50288,13,56,Male
738,16184,100,26,Female
739,34051,2,56,Male
740,30254,65,84,Male
741,14472,44,25,Male
742,95804,70,59,Male
743,54220,15,79,Male
744,90106,75,51,Male
745,70553,24,73,Male
746,42963,76,83,Female
747,26201,1,48,Female
748,94848,97,66,Female
749,42821,13,93,Female
750,62424,87,94,Female
751,1431,48,95,Female
752,162,88,23,Female
753,50057,1,25,Female
754,9833,81,86,Female
755,41800,55,65,Male
756,2643,73,66,Male
757,47299,18,100,Male
758,96894,88,91,Female
759,7927,1,29,Female
760,77454,58,30,Female
761,77465,32,66,Male
762,18745,81,91,Male
763,34521,22,97,Male
764,18322,81,94,Female
765,42891,52,59,Male
766,24259,62,95,Male
767,2336,2,33,Male
768,98876,100,37,Female
769,18474,21,95,Male
770,86544,85,79,Female
771,78021,52,74,Female
772,13140,65,11,Female
773,68673,1,25,Female
774,78258,95,95,Female
775,74071,59,47,Female
776,70202,65,73,Male
777,10800,17,16,Male
778,12819,99,77,Female
779,78707,4,24,Female
780,10983,72,88,Female
781,14939,32,36,Male
782,27624,100,67,Female
783,39961,1,34,Female
784,13565,59,81,Female
785,23648,54,15,Male
786,48563,78,98,Male
787,79025,4,78,Male
788,94986,85,83,Female
789,51707,10,50,Female
790,57828,72,81,Male
791,21384,33,57,Female
792,37991,78,51,Female
793,29139,1,21,Female
794,84742,72,12,Male
795,65794,46,49,Female
796,85120,63,41,Female
797,17071,22,13,Female
798,11205,92,41,Male
799,62987,1,55,Male
800,54400,72,39,Male
801,56481,22,37,Female
802,67065,91,68,Male
803,20095,12,78,Male
804,55426,89,77,Male
805,92051,53,35,Female
806,88708,90,70,Female
807,97756,1,59,Female
808,30930,84,75,Male
809,26475,1,94,Female
810,46305,73,12,Female
811,12763,48,99,Female
812,36116,88,99,Female
813,95648,6,44,Female
814,45096,74,67,Male
815,84246,41,26,Male
816,55915,66,24,Male
817,74658,18,93,Male
818,87969,75,49,Female
819,155,21,79,Male
820,38547,52,81,Male
821,41814,21,13,Female
822,87960,98,24,Male
823,71906,1,85,Male
824,53798,65,86,Male
825,10449,52,15,Male
826,22746,78,68,Male
827,83297,23,23,Female
828,86516,81,71,Male
829,46738,12,87,Male
830,8787,76,49,Female
831,61709,44,96,Female
832,18351,79,60,Male
833,21778,1,37,Female
834,75948,63,87,Male
835,48200,38,56,Female
836,4493,93,62,Male
837,51875,25,90,Female
838,49416,100,61,Male
839,46733,1,62,Male
840,11240,65,50,Female
841,32762,22,17,Female
842,81768,82,50,Female
843,70910,1,71,Male
844,51631,86,21,Male
845,66314,40,30,Male
846,79151,75,76,Female
847,16288,1,70,Male
848,46403,100,90,Female
849,49879,14,74,Female
850,89388,74,56,Female
851,92491,30,55,Male
852,49678,79,35,Female
853,88668,7,30,Male
854,96019,85,60,Female
855,18230,26,37,Female
856,87445,67,54,Male
857,11093,1,97,Female
858,11190,74,81,Male
859,85925,1,95,Male
860,93905,68,70,Female
861,28933,44,36,Female
862,85371,61,66,Male
863,42604,20,49,Female
864,5410,76,65,Male
865,6796,57,58,Female
866,58557,63,52,Female
867,96038,6,58,Female
868,12605,82,97,Male
869,70448,1,97,Male
870,35634,90,64,Male
871,22054,31,73,Male
872,99821,79,20,Male
873,59518,1,49,Female
874,8210,68,81,Female
875,60348,31,70,Female
876,22432,81,78,Female
877,78682,8,39,Male
878,66262,93,91,Female
879,69569,1,42,Male
880,24995,69,28,Male
881,10651,58,93,Male
882,16715,75,50,Male
883,71425,14,83,Female
884,34610,67,86,Female
885,74637,37,60,Female
886,64200,94,37,Male
887,19539,1,36,Male
888,77313,100,47,Male
889,6031,12,49,Female
890,78928,63,44,Male
891,34624,33,99,Male
892,74964,91,34,Male
893,50583,23,37,Male
894,79285,74,45,Male
895,36268,28,62,Female
896,61049,85,69,Female
897,42849,17,76,Male
898,79003,88,50,Male
899,82279,1,57,Female
900,75769,87,42,Female
901,45734,52,65,Female
902,76708,67,77,Male
903,91703,1,74,Male
904,44179,75,38,Female
905,40379,37,44,Male
906,44014,86,100,Female
907,47498,23,73,Male
908,79239,100,57,Female
909,91575,1,74,Male
910,48515,56,39,Female
911,19799,21,84,Male
912,89859,86,36,Female
913,47093,12,60,Female
914,18693,71,39,Female
915,2169,56,51,Female
916,8036,90,96,Female
917,30403,3,82,Male
918,25372,86,68,Male
919,14973,1,31,Female
920,27716,88,58,Male
921,76449,40,62,Male
922,76118,63,51,Female
923,56882,6,55,Male
924,62443,77,53,Male
925,358,23,10,Female
926,30654,79,22,Male
927,64353,1,60,Male
928,55568,100,91,Female
929,74965,6,28,Male
930,58342,72,17,Female
931,80388,35,45,Female
932,75774,87,20,Female
933,1708,1,30,Female
934,55690,95,14,Male
935,1207,39,50,Female
936,29689,67,79,Male
937,66418,4,35,Female
938,60011,100,79,Male
939,78518,18,84,Male
940,79063,74,24,Male
941,62154,35,60,Male
942,69338,78,60,Male
943,6142,1,16,Male
944,53410,65,81,Female
945,8016,36,81,Male
946,40510,93,76,Male
947,25518,16,89,Female
948,27103,95,95,Male
949,36674,1,51,Female
950,77949,72,89,Female
951,11944,42,44,Female
952,58653,90,56,Male
953,77842,1,35,Male
954,11590,86,16,Male
955,66624,55,34,Male
956,86156,95,17,Male
957,7295,1,10,Female
958,94754,75,72,Female
959,93718,1,43,Female
960,48511,55,39,Male
961,1381,29,81,Male
962,41869,73,54,Female
963,87329,4,25,Female
964,80807,73,43,Female
965,56699,35,69,Female
966,46092,86,43,Male
967,68487,8,87,Female
968,53117,100,62,Male
969,67904,1,39,Male
970,35596,72,28,Male
971,61202,43,95,Male
972,76112,83,41,Female
973,80905,21,81,Female
974,25235,88,23,Female
975,16237,43,88,Female
976,84227,68,68,Male
977,56071,3,21,Male
978,12237,100,91,Female
979,45409,1,85,Male
980,89678,82,35,Female
981,68703,40,47,Male
982,27990,84,59,Female
983,22440,1,78,Female
984,55103,85,37,Male
985,19008,38,18,Male
986,5793,59,91,Male
987,90930,1,92,Male
988,48695,85,60,Male
989,32441,5,99,Male
990,62368,78,98,Female
991,23478,28,56,Male
992,85716,81,22,Male
993,58272,9,20,Male
994,93635,81,82,Male
995,16211,38,92,Female
996,66852,72,57,Male
997,18971,20,56,Female
998,87697,87,80,Male
999,78860,1,22,Female
1000,26654,53,25,Male
1001,20808,56,84,Female
1002,34773,93,96,Male
1003,83692,19,18,Female
1004,90887,63,45,Female
1005,23554,47,79,Female
1006,58283,76,37,Female
1007,62261,1,30,Female
1008,33002,100,22,Male
1009,26672,1,62,Female
1010,57134,61,55,Male
1011,20132,56,33,Female
1012,42965,77,23,Female
1013,82594,10,12,Male
1014,51813,73,21,Female
1015,54131,43,38,Male
1016,96664,91,69,Female
1017,92389,1,93,Male
1018,19611,89,56,Male
1019,77403,1,36,Female
1020,44724,81,43,Male
1021,81029,25,34,Male
1022,55350,67,66,Female
1023,6155,1,89,Male
1024,55668,92,86,Male
1025,56547,28,41,Male
1026,88839,88,96,Male
1027,28151,1,54,Female
1028,62522,77,76,Male
1029,2204,16,37,Male
1030,33870,74,53,Female
1031,21607,27,14,Female
1032,74707,71,24,Female
1033,55835,7,26,Male
1034,46169,63,66,Female
1035,46473,38,20,Male
1036,55751,95,77,Male
1037,7006,13,84,Male
1038,65344,100,97,Female
1039,75451,13,55,Female
1040,11033,56,93,Female
1041,47562,51,59,Female
1042,44769,75,70,Female
1043,27076,1,47,Female
1044,84565,74,87,Female
1045,43309,32,12,Female
1046,38405,84,17,Female
1047,492,18,90,Female
1048,72010,86,59,Male
1049,54110,10,79,Male
1050,12867,86,57,Female
1051,96063,44,71,Male
1052,5451,71,98,Female
1053,38870,23,91,Female
1054,58627,85,68,Male
1055,28001,36,52,Male
1056,68431,57,43,Male
1057,8711,1,17,Female
1058,36191,100,74,Male
1059,21542,1,68,Female
1060,93783,73,95,Female
1061,77960,55,83,Female
1062,18020,88,37,Female
1063,19710,6,97,Female
1064,63227,96,75,Male
1065,43463,46,31,Male
1066,81050,84,76,Female
1067,83596,1,18,Female
1068,40695,100,43,Male
1069,67712,14,98,Male
1070,53574,54,93,Female
1071,98932,48,44,Male
1072,3696,99,100,Female
1073,19149,2,27,Male
1074,4956,76,62,Male
1075,66641,23,74,Female
1076,63232,81,29,Female
1077,98134,1,68,Male
1078,9256,78,74,Male
1079,64789,16,50,Male
1080,63043,56,20,Female
1081,46002,39,85,Female
1082,66668,67,56,Male
1083,63814,11,49,Male
1084,61844,70,13,Male
1085,74601,39,24,Female
1086,20700,63,50,Female
1087,93330,24,55,Female
1088,93688,100,77,Female
1089,82190,17,46,Male
1090,80578,75,36,Female
1091,14270,54,33,Female
1092,77801,64,76,Female
1093,27056,8,62,Female
1094,88691,79,78,Male
1095,37044,25,66,Female
1096,88454,94,47,Male
1097,77116,5,12,Female
1098,38578,95,56,Female
1099,77787,1,47,Male
1100,95742,87,50,Male
1101,22412,41,67,Female
1102,60957,97,34,Female
1103,30106,1,66,Female
1104,86511,92,48,Female
1105,27127,41,94,Female
1106,2708,63,25,Male
1107,45046,16,51,Female
1108,47135,100,18,Male
1109,52874,14,19,Female
1110,27128,68,77,Female
1111,88499,43,30,Male
1112,31845,61,72,Male
1113,2610,21,90,Male
1114,95102,80,75,Female
1115,85774,51,48,Male
1116,89285,56,32,Female
1117,32934,2,43,Male
1118,66216,100,82,Male
1119,62021,1,93,Female
1120,35060,54,90,Male
1121,41520,30,56,Male
1122,34998,61,90,Male
1123,75225,1,41,Female
1124,33919,60,27,Male
1125,70482,54,87,Female
1126,26400,69,43,Male
1127,45814,1,97,Male
1128,84892,92,15,Male
1129,82912,22,92,Male
1130,18624,56,36,Female
1131,389,58,22,Female
1132,67391,95,28,Female
1133,52815,1,98,Female
1134,16835,79,11,Female
1135,19477,56,81,Male
1136,11889,71,92,Male
1137,46289,1,81,Female
1138,112,85,62,Male
1139,92036,9,21,Male
1140,19552,56,66,Female
1141,72525,23,68,Male
1142,95549,79,95,Male
1143,26049,15,56,Male
1144,90563,89,22,Female
1145,3765,26,88,Male
1146,75277,78,28,Female
1147,22931,14,33,Female
1148,80702,83,66,Female
1149,54845,11,83,Male
1150,10561,57,67,Male
